"$U_B,~V$","$U_R,~V$","$U_0,~V$","$U_Z,~V$","$I,~A$","$P_s,~W$","$R_w,~\Omega$"
"10,00","2,24","10,00","7,76","0,224","1,73824","34,64285714"
"9,00","2,12","8,90","6,78","0,212","1,43736","31,98113208"
"8,00","1,97","8,00","6,03","0,197","1,18791","30,60913706"
"7,00","1,84","7,10","5,26","0,184","0,96784","28,58695652"
"6,00","1,66","6,10","4,44","0,166","0,73704","26,74698795"
"5,00","1,45","5,08","3,63","0,145","0,52635","25,03448276"
"4,00","1,27","4,08","2,81","0,127","0,35687","22,12598425"
"3,00","1,07","3,08","2,01","0,107","0,21507","18,78504673"
"2,00","0,82","2,00","1,18","0,082","0,09676","14,3902439"
"1,00","0,56","1,00","0,44","0,056","0,02464","7,857142857"