V,p1,t1,pVT1,DeltapVT1,p2,t2,pVT2,DeltapVT2,p3,t3,pVT3,DeltapVT3
45.0,69.4,21.6,10.60,0.45,77.9,21.6,11.90,0.46,112.9,21.4,17.25,0.53
44.0,71.2,21.6,10.63,0.44,79.7,21.7,11.90,0.46,115.8,21.4,17.30,0.53
43.0,72.7,21.6,10.61,0.44,81.5,21.7,11.89,0.46,118.1,21.4,17.25,0.53
42.0,74.5,21.6,10.62,0.43,83.4,21.7,11.88,0.45,120.8,21.4,17.23,0.52
41.0,76.4,21.6,10.63,0.43,85.6,21.7,11.91,0.45,124.1,21.4,17.28,0.52
40.0,78.6,21.6,10.67,0.43,87.9,21.7,11.93,0.45,127.3,21.4,17.29,0.52
39.0,80.5,21.6,10.66,0.42,90.3,21.8,11.94,0.44,130.5,21.4,17.28,0.52
38.0,82.6,21.6,10.65,0.42,92.6,21.8,11.94,0.44,133.6,21.4,17.24,0.52
37.0,84.8,21.6,10.65,0.42,94.8,21.8,11.90,0.44,136.7,21.5,17.17,0.52
36.0,87.6,21.6,10.70,0.42,97.6,21.8,11.92,0.43,139.9,21.5,17.10,0.52
35.0,90.4,21.6,10.74,0.41,100.9,21.8,11.98,0.43,143.7,21.5,17.07,0.52
34.0,92.9,21.6,10.72,0.41,103.8,21.8,11.97,0.43,147,21.5,16.97,0.51
33.0,95.6,21.6,10.71,0.41,106.7,21.8,11.94,0.43,,,,
32.0,98.5,21.6,10.70,0.41,110.0,21.8,11.94,0.43,,,,
31.0,101.8,21.6,10.71,0.41,113.3,21.8,11.91,0.43,,,,
30.0,105.4,21.6,10.73,0.41,117.1,21.9,11.91,0.43,,,,